Ticker,Industry,Dividend Yield,IPO Date
AAPL,Consumer Electronics,0.44,0.0
MSFT,Software - Infrastructure,0.78,0.0
AMZN,Internet Retail,0.0,0.0
GOOGL,Internet Content & Information,0.41,0.0
GOOG,Internet Content & Information,0.41,0.0
JNJ,Drug Manufacturers - General,3.36,0.0
META,Internet Content & Information,0.33,0.0
V,Credit Services,0.74,0.0
PG,Household & Personal Products,2.51,0.0
JPM,Banks - Diversified,2.02,0.0
UNH,Healthcare Plans,1.55,0.0
NVDA,Semiconductors,0.03,0.0
HD,Home Improvement Retail,2.2,0.0
DIS,Entertainment,0.82,0.0
PYPL,Credit Services,0.0,0.0
MA,Credit Services,0.58,0.0
VZ,Telecom Services,7.07,0.0
ADBE,Software - Infrastructure,0.0,0.0
INTC,Semiconductors,2.24,0.0
CMCSA,Telecom Services,3.42,0.0
MRK,Drug Manufacturers - General,3.22,0.0
T,Telecom Services,5.04,0.0
NFLX,Entertainment,0.0,0.0
KO,Beverages - Non-Alcoholic,3.12,0.0
PEP,Beverages - Non-Alcoholic,3.7,0.0
PFE,Drug Manufacturers - General,6.49,0.0
CSCO,Communication Equipment,2.67,0.0
XOM,Oil & Gas Integrated,3.56,0.0
ABT,Medical Devices,2.07,0.0
CRM,Software - Application,0.48,0.0
ACN,Information Technology Services,1.7,0.0
COST,Discount Stores,0.47,0.0
WMT,Discount Stores,0.99,0.0
MDT,Medical Devices,3.2,0.0
ABBV,Drug Manufacturers - General,3.78,0.0
AVGO,Semiconductors,1.17,0.0
TXN,Semiconductors,2.9,0.0
NEE,Utilities - Regulated Electric,2.89,0.0
ORCL,Software - Infrastructure,0.83,0.0
LLY,Drug Manufacturers - General,0.79,0.0
NKE,Footwear & Accessories,2.08,0.0
SPGI,Financial Data & Stock Exchanges,0.72,0.0
LIN,Specialty Chemicals,1.29,0.0
AMD,Semiconductors,0.0,0.0
MCD,Restaurants,2.53,0.0
LOW,Home Improvement Retail,1.69,0.0
UPS,Integrated Freight & Logistics,5.02,0.0
MS,Capital Markets,2.83,0.0
PM,Tobacco,4.51,0.0
UNP,Railroads,2.28,0.0
AMGN,Drug Manufacturers - General,3.53,0.0
QCOM,Semiconductors,2.11,0.0
INTU,Software - Application,0.61,0.0
RTX,Aerospace & Defense,2.09,0.0
IBM,Information Technology Services,3.0,0.0
CHTR,Telecom Services,0.0,0.0
PLD,REIT - Industrial,3.46,0.0
BA,Aerospace & Defense,0.0,0.0
MDLZ,Confectioners,3.24,0.0
ISRG,Medical Instruments & Supplies,0.0,0.0
GS,Capital Markets,2.1,0.0
AXP,Credit Services,0.9,0.0
DE,Farm & Heavy Construction Machinery,1.45,0.0
BLK,Asset Management,2.12,0.0
GE,Aerospace & Defense,0.62,0.0
AMT,REIT - Specialty,3.41,0.0
ADI,Semiconductors,1.65,0.0
EL,Household & Personal Products,1.79,0.0
MMM,Conglomerates,2.01,0.0
AMAT,Semiconductor Equipment & Materials,0.86,0.0
CB,Insurance - Property & Casualty,1.33,0.0
CAT,Farm & Heavy Construction Machinery,1.48,0.0
TMUS,Telecom Services,1.63,0.0
DUK,Utilities - Regulated Electric,3.83,0.0
MMC,Insurance Brokers,1.51,0.0
SO,Utilities - Regulated Electric,3.43,0.0
MO,Tobacco,7.97,0.0
ADI,Semiconductors,1.65,0.0
SPG,REIT - Retail,4.86,0.0
CCI,REIT - Specialty,6.91,0.0
MDLZ,Confectioners,3.24,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Financial Services,3.19,Error
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Technology,2.08,Error
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
BDX,Medical Instruments & Supplies,1.75,0.0
NSC,Railroads,2.19,0.0
ITW,Specialty Industrial Machinery,2.34,0.0
CI,Healthcare Plans,1.99,0.0
EQIX,REIT - Specialty,1.85,0.0
REGN,Biotechnology,0.0,0.0
EW,Medical Devices,0.0,0.0
APD,Specialty Chemicals,2.27,0.0
SHW,Specialty Chemicals,0.81,0.0
ADP,Software - Application,2.08,0.0
GS,Capital Markets,2.1,0.0
PNC,Banks - Regional,3.19,0.0
USB,Banks - Regional,3.93,0.0
